# x   seno   coseno   amortiguada
0 0 1 0
0.0174533 0.0174524 0.999848 0.0696045
0.0349066 0.0348995 0.999391 0.138567
0.0523599 0.052336 0.99863 0.206555
0.0698132 0.0697565 0.997564 0.273242
0.0872665 0.0871557 0.996195 0.33831
0.10472 0.104528 0.994522 0.401447
0.122173 0.121869 0.992546 0.462356
0.139626 0.139173 0.990268 0.520751
0.15708 0.156434 0.987688 0.576357
0.174533 0.173648 0.984808 0.628916
0.191986 0.190809 0.981627 0.678186
0.20944 0.207912 0.978148 0.723942
0.226893 0.224951 0.97437 0.765975
0.244346 0.241922 0.970296 0.804099
0.261799 0.258819 0.965926 0.838143
0.279253 0.275637 0.961262 0.867961
0.296706 0.292372 0.956305 0.893426
0.314159 0.309017 0.951057 0.914432
0.331613 0.325568 0.945519 0.930898
0.349066 0.34202 0.939693 0.942761
0.366519 0.358368 0.93358 0.949986
0.383972 0.374607 0.927184 0.952556
0.401426 0.390731 0.920505 0.950481
0.418879 0.406737 0.913545 0.943789
0.436332 0.422618 0.906308 0.932533
0.453786 0.438371 0.898794 0.916789
0.471239 0.45399 0.891007 0.896653
0.488692 0.469472 0.882948 0.872241
0.506145 0.48481 0.87462 0.843691
0.523599 0.5 0.866025 0.811159
0.541052 0.515038 0.857167 0.774822
0.558505 0.529919 0.848048 0.734874
0.575959 0.544639 0.838671 0.691523
0.593412 0.559193 0.829038 0.644996
0.610865 0.573576 0.819152 0.595533
0.628319 0.587785 0.809017 0.543387
0.645772 0.601815 0.798636 0.488824
0.663225 0.615661 0.788011 0.432121
0.680678 0.62932 0.777146 0.373561
0.698132 0.642788 0.766044 0.313439
0.715585 0.656059 0.75471 0.252053
0.733038 0.669131 0.743145 0.189708
0.750492 0.681998 0.731354 0.126711
0.767945 0.694658 0.71934 0.0633717
0.785398 0.707107 0.707107 1.11013e-16
0.802851 0.71934 0.694658 -0.0630958
0.820305 0.731354 0.681998 -0.12561
0.837758 0.743145 0.669131 -0.18724
0.855211 0.75471 0.656059 -0.247692
0.872665 0.766044 0.642788 -0.306674
0.890118 0.777146 0.62932 -0.363908
